programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement,countydistrictcode
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05920,UNIQUE PIECES INC.,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,7,0,7,2022-05-01T00:00:00.000,0,0,271,271,0,0.0,0.0,1119.23,260.16,0.0,149.05,1528.44,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00965,GREGORY-PORTLAND ISD,Educational Institution,School Food Authority,2,5,SAN PATRICIO,2,0,2,2022-07-01T00:00:00.000,930,0,2250,0,0,2204.1,0.0,9292.5,0.0,0.0,1191.68,12688.28,205-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00349,YSLETA ISD,Educational Institution,School Food Authority,19,1,EL PASO,1,0,1,2022-05-01T00:00:00.000,8,0,56,0,0,18.96,0.0,231.28,0.0,0.0,26.1,276.34,071-905
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01534,THE HOUSTON FOOD BANK,Private Non Profit Organization,Private Nonprofit,4,3,GALVESTON,140,0,140,2022-07-01T00:00:00.000,35482,0,53303,1110,0,84092.34,0.0,220141.39,1065.6,0.0,31522.25,336821.58,101-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04405,Nutrition Transitions,Private Non Profit Organization,Private Nonprofit,4,3,DALLAS,21,0,21,2022-07-01T00:00:00.000,7220,0,10520,16376,14200,17111.4,0.0,43447.6,15720.96,58646.0,14312.28,149238.24,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04080,"Village Hands and Hearts, Inc.",Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,8,0,8,2022-07-01T00:00:00.000,5731,0,8861,494,0,13582.47,0.0,36595.93,474.24,0.0,5237.22,55889.86,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04660,NORA'S WOMEN OF PURPOSE,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,25,0,25,2022-06-01T00:00:00.000,15819,0,17034,0,0,37491.03,0.0,70350.42,0.0,0.0,11084.68,118926.13,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03974,P.L.A.Y.S. (Positive Leadership Advances Youth Self Development),Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,3,0,3,2022-05-01T00:00:00.000,35,0,80,50,0,82.95,0.0,330.4,48.0,0.0,39.71,501.06,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,ATASCOSA,1,0,1,2022-06-01T00:00:00.000,642,0,802,0,0,1521.54,0.0,3312.26,0.0,0.0,497.74,5331.54,007-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00529,SPRING BRANCH ISD,Educational Institution,School Food Authority,4,3,HARRIS,1,0,1,2022-05-01T00:00:00.000,26,0,108,0,0,61.62,0.0,446.04,0.0,0.0,52.82,560.48,101-920
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06480,South Texas Juvenile Diabetes Association,Private Non Profit Organization,Private Nonprofit,1,5,HIDALGO,3,0,3,2022-06-01T00:00:00.000,530,197,526,237,0,1256.1,189.12,2172.38,227.52,0.0,403.05,4248.17,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01162,KERMIT ISD,Educational Institution,School Food Authority,18,1,WINKLER,1,0,1,2022-05-01T00:00:00.000,91,0,140,0,0,215.67,0.0,578.2,0.0,0.0,81.94,875.81,248-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06928,DFW Economic Solutions,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,10,0,10,2022-05-01T00:00:00.000,1498,0,1323,0,0,3550.26,0.0,5463.99,0.0,0.0,924.23,9938.48,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00766,STANTON ISD,Educational Institution,School Food Authority,18,1,MARTIN,1,0,1,2022-06-01T00:00:00.000,863,0,1223,0,0,2045.31,0.0,5050.99,0.0,0.0,731.76,7828.06,156-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,JEFFERSON,37,0,37,2022-06-01T00:00:00.000,11447,0,14147,375,0,27129.39,0.0,58427.11,360.0,0.0,8852.69,94769.19,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,02225,D.M. Ministries Community Development Corporation,Private Non Profit Organization,Private Nonprofit,10,2,NACOGDOCHES,4,0,4,2022-06-01T00:00:00.000,1338,0,1501,0,0,3171.06,0.0,6199.13,0.0,0.0,963.61,10333.8,174-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06377,Britestar Community Center Inc,Private Non Profit Organization,Private Nonprofit,4,3,HARRIS,12,0,12,2022-08-01T00:00:00.000,0,0,8104,8104,0,0.0,0.0,33469.52,7779.84,0.0,4457.2,45706.56,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00965,GREGORY-PORTLAND ISD,Educational Institution,School Food Authority,2,5,SAN PATRICIO,3,0,3,2022-06-01T00:00:00.000,1530,0,3193,0,0,3626.1,0.0,13187.09,0.0,0.0,1740.52,18553.71,205-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01893,ARMED SERVICES YMCA CHILD DEVELOPMENT CENTER,Private Non Profit Organization,Private Nonprofit,19,1,EL PASO,1,0,1,2022-06-01T00:00:00.000,1449,0,2055,0,0,3434.13,0.0,8487.15,0.0,0.0,1229.31,13150.59,071-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04493,THE JOSH HOWARD FOUNDATION,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,13,0,13,2022-07-01T00:00:00.000,2000,7677,9959,0,0,4740.0,7369.92,41130.67,0.0,0.0,5679.32,58919.91,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06317,KIDS GRAB ON THE GO,Private Non Profit Organization,Private Nonprofit,10,2,DAWSON,9,0,9,2022-08-01T00:00:00.000,6811,0,6811,0,0,16142.07,0.0,28129.43,0.0,0.0,4546.35,48817.85,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,BASTROP,6,0,6,2022-06-01T00:00:00.000,8303,0,11333,0,0,19678.11,0.0,46805.29,0.0,0.0,6852.73,73336.13,011-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03554,"YOUNG WOMENS CHRISTIAN ASSOCIATION OF LUBBOCK, TEX",Private Non Profit Organization,Private Nonprofit,17,1,LUBBOCK,2,0,2,2022-06-01T00:00:00.000,0,0,4761,4564,0,0.0,0.0,19662.93,4381.44,0.0,2595.4,26639.77,152-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01138,WICHITA FALLS ISD,Educational Institution,School Food Authority,9,2,WICHITA,10,0,10,2022-07-01T00:00:00.000,3654,0,6920,0,0,8659.98,0.0,28579.6,0.0,0.0,3851.59,41091.17,243-905
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,JEFFERSON,3,0,3,2022-05-01T00:00:00.000,49,0,69,0,0,116.13,0.0,284.97,0.0,0.0,41.36,442.46,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06834,K-Nation Group,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,8,0,8,2022-08-01T00:00:00.000,11795,0,11795,0,0,27954.15,0.0,48713.35,0.0,0.0,7873.17,84540.67,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,ATASCOSA,6,0,6,2022-06-01T00:00:00.000,5572,0,9164,0,163,13205.64,0.0,37847.32,0.0,673.19,5343.35,57069.5,007-905
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05243,"Kids Bring Life, Inc.",Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,2,0,2,2022-05-01T00:00:00.000,0,0,90,90,0,0.0,0.0,371.7,86.4,0.0,49.51,507.61,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04660,NORA'S WOMEN OF PURPOSE,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,27,0,27,2022-07-01T00:00:00.000,18532,0,18853,0,0,43920.84,0.0,77862.89,0.0,0.0,12508.94,134292.67,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01123,UNITED ISD,Educational Institution,School Food Authority,1,5,WEBB,32,0,32,2022-06-01T00:00:00.000,71227,0,88174,0,0,168807.99,0.0,364158.62,0.0,0.0,54873.61,587840.22,240-903
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00403,GALVESTON ISD,Educational Institution,School Food Authority,4,3,GALVESTON,1,0,1,2022-08-01T00:00:00.000,931,0,969,0,0,2206.47,0.0,4001.97,0.0,0.0,637.88,6846.32,084-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01530,SAN ANTONIO FOOD BANK,Private Non Profit Organization,Private Nonprofit,20,4,BEXAR,85,0,85,2022-06-01T00:00:00.000,4458,0,28593,22710,0,10565.46,0.0,118089.09,21801.6,0.0,16082.53,166538.68,015-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01549,WEST TEXAS FOOD BANK,Private Non Profit Organization,Private Nonprofit,18,1,ECTOR,3,0,3,2022-08-01T00:00:00.000,0,0,62,47,0,0.0,0.0,256.06,45.12,0.0,32.34,333.52,068-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00327,ECTOR COUNTY ISD,Educational Institution,School Food Authority,18,1,ECTOR,17,0,17,2022-07-01T00:00:00.000,8091,0,12127,0,0,19175.67,0.0,50084.51,0.0,0.0,7146.32,76406.5,068-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00969,SINTON ISD,Educational Institution,School Food Authority,2,5,SAN PATRICIO,2,0,2,2022-06-01T00:00:00.000,1354,0,2717,0,0,3208.98,0.0,11221.21,0.0,0.0,1493.29,15923.48,205-906
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04493,THE JOSH HOWARD FOUNDATION,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,12,0,12,2022-08-01T00:00:00.000,765,3180,3962,0,0,1813.05,3052.8,16363.06,0.0,0.0,2267.0,23495.91,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06975,Education Potential Verified,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,40,0,40,2022-07-01T00:00:00.000,10864,0,26740,10274,0,25747.68,0.0,110436.2,9863.04,0.0,12519.74,158566.66,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00524,KATY ISD,Educational Institution,School Food Authority,4,3,HARRIS,3,0,3,2022-07-01T00:00:00.000,174,0,2430,0,0,412.38,0.0,10035.9,0.0,0.0,1091.87,11540.15,101-914
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06975,Education Potential Verified,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,33,0,33,2022-08-01T00:00:00.000,3930,0,5012,200,0,9314.1,0.0,20699.56,192.0,0.0,2537.34,32743.0,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00345,CLINT ISD,Educational Institution,School Food Authority,19,1,EL PASO,11,0,11,2022-06-01T00:00:00.000,19564,0,17985,0,0,46366.68,0.0,74278.05,0.0,0.0,12376.05,133020.78,071-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05006,BRIGHT NUTRITION,Private Non Profit Organization,Private Nonprofit,1,5,CAMERON,37,0,37,2022-08-01T00:00:00.000,22500,0,22500,0,0,53325.0,0.0,92925.0,0.0,0.0,12291.64,158541.64,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01707,Intrinsic Foundation,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,7,0,7,2022-06-01T00:00:00.000,7101,0,7391,827,0,16829.37,0.0,30524.83,793.92,0.0,4962.52,53110.64,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03535,Young Men's Christian Association of Metropolitan Fort Worth,Private Non Profit Organization,Private Nonprofit,11,2,TARRANT,6,0,6,2022-07-01T00:00:00.000,0,0,4372,3138,0,0.0,0.0,18056.36,3012.48,0.0,2259.61,23328.45,220-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05591,Full Filled Project Inc,Private Non Profit Organization,Private Nonprofit,10,2,COLLIN,24,0,24,2022-07-01T00:00:00.000,14934,0,19331,2036,0,35393.58,0.0,79837.03,1954.56,0.0,12109.38,129294.55,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03554,"YOUNG WOMENS CHRISTIAN ASSOCIATION OF LUBBOCK, TEX",Private Non Profit Organization,Private Nonprofit,17,1,LUBBOCK,1,0,1,2022-05-01T00:00:00.000,0,0,169,169,0,0.0,0.0,697.97,162.24,0.0,92.95,953.16,152-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00426,DENISON ISD,Educational Institution,School Food Authority,10,2,GRAYSON,8,0,8,2022-06-01T00:00:00.000,2545,0,4167,0,0,6031.65,0.0,17209.71,0.0,0.0,2400.31,25641.67,091-903
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05656,"Kidz Grub, Inc.",Private Non Profit Organization,Private Nonprofit,4,3,HARRIS,9,0,9,2022-06-01T00:00:00.000,0,0,9949,0,0,0.0,0.0,41089.37,0.0,0.0,4302.94,45392.31,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01041,MEADOW ISD,Educational Institution,School Food Authority,17,1,TERRY,1,0,1,2022-06-01T00:00:00.000,635,0,667,0,0,1504.95,0.0,2754.71,0.0,0.0,437.71,4697.37,223-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00456,PLAINVIEW ISD,Educational Institution,School Food Authority,17,1,HALE,2,0,2,2022-06-01T00:00:00.000,2208,0,3444,0,0,5232.96,0.0,14223.72,0.0,0.0,2008.41,21465.09,095-905
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04323,Kids Cove Community Outreach,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,11,0,11,2022-08-01T00:00:00.000,5115,0,5115,0,0,12122.55,0.0,21124.95,0.0,0.0,3414.27,36661.77,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00531,SHELDON ISD,Educational Institution,School Food Authority,4,3,HARRIS,7,0,7,2022-05-01T00:00:00.000,712,0,1133,0,0,1687.44,0.0,4679.29,0.0,0.0,657.34,7024.07,101-924
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05255,"FOOD ALWAYS, INC.",Private Non Profit Organization,Private Nonprofit,4,3,HARRIS,10,0,10,2022-08-01T00:00:00.000,9982,0,9982,0,0,23657.34,0.0,41225.66,0.0,0.0,6662.99,71545.99,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01162,KERMIT ISD,Educational Institution,School Food Authority,18,1,WINKLER,1,0,1,2022-06-01T00:00:00.000,1833,0,2522,0,0,4344.21,0.0,10415.86,0.0,0.0,1521.53,16281.6,248-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05591,Full Filled Project Inc,Private Non Profit Organization,Private Nonprofit,10,2,COLLIN,12,0,12,2022-08-01T00:00:00.000,3802,0,4338,400,250,9010.74,0.0,17915.94,384.0,1032.5,2924.79,31267.97,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05451,"Boys Club of Pharr, Inc.",Private Non Profit Organization,Private Nonprofit,1,5,HIDALGO,4,0,4,2022-08-01T00:00:00.000,2065,0,2947,0,0,4894.05,0.0,12171.11,0.0,0.0,1759.86,18825.02,108-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,TAYLOR,12,0,12,2022-07-01T00:00:00.000,5845,0,11406,0,0,13852.65,0.0,47106.78,0.0,0.0,6306.68,67266.11,221-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01647,VICTORY COVENANT COMMUNITY MINISTRY,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,5,0,5,2022-06-01T00:00:00.000,2628,0,3919,1000,0,6228.36,0.0,16185.47,960.0,0.0,2430.05,25803.88,057-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01550,HIGH PLAINS FOOD BANK,Private Non Profit Organization,Private Nonprofit,16,1,POTTER,12,0,12,2022-07-01T00:00:00.000,2249,0,7855,0,380,5330.13,0.0,32441.15,0.0,1569.4,4090.16,43430.84,188-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06458,Boys & Girls Clubs in Texas,Private Non Profit Organization,Private Nonprofit,13,4,TRAVIS,24,0,24,2022-08-01T00:00:00.000,1729,0,5840,3252,0,4097.73,0.0,24119.2,3121.92,0.0,2917.67,34256.52,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00940,CALVERT ISD,Educational Institution,School Food Authority,6,3,ROBERTSON,1,0,1,2022-06-01T00:00:00.000,366,0,432,0,0,867.42,0.0,1784.16,0.0,0.0,272.85,2924.43,198-902
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00772,PALACIOS ISD,Educational Institution,School Food Authority,3,3,MATAGORDA,1,0,1,2022-05-01T00:00:00.000,10,0,15,0,0,23.7,0.0,61.95,0.0,0.0,8.84,94.49,158-905
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00522,HOUSTON ISD,Educational Institution,School Food Authority,4,3,HARRIS,210,0,210,2022-06-01T00:00:00.000,216505,0,311588,0,0,513116.85,0.0,1286858.44,0.0,0.0,185640.49,1985615.78,101-912
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,07014,Vision Ministries Community Church,Private Non Profit Organization,Private Nonprofit,4,3,HARRIS,3,0,3,2022-07-01T00:00:00.000,2125,0,2125,0,0,5036.25,0.0,8776.25,0.0,0.0,1418.44,15230.94,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00665,CLEBURNE ISD,Educational Institution,School Food Authority,11,2,JOHNSON,6,0,6,2022-06-01T00:00:00.000,1743,0,4982,0,0,4130.91,0.0,20575.66,0.0,0.0,2564.33,27270.9,126-903
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00283,MESQUITE ISD,Educational Institution,School Food Authority,10,2,DALLAS,32,0,32,2022-06-01T00:00:00.000,21448,0,41262,0,0,50831.76,0.0,170412.06,0.0,0.0,22886.1,244129.92,057-914
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03554,"YOUNG WOMENS CHRISTIAN ASSOCIATION OF LUBBOCK, TEX",Private Non Profit Organization,Private Nonprofit,17,1,LUBBOCK,2,0,2,2022-07-01T00:00:00.000,0,0,5031,4514,0,0.0,0.0,20778.03,4333.44,0.0,2706.31,27817.78,152-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03627,Food & Nutrition Solutions Inc.,Private Non Profit Organization,Private Nonprofit,7,3,ANGELINA,8,0,8,2022-06-01T00:00:00.000,7716,0,10945,1400,0,18286.92,0.0,45202.85,1344.0,0.0,6711.47,71545.24,003-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05451,"Boys Club of Pharr, Inc.",Private Non Profit Organization,Private Nonprofit,1,5,HIDALGO,4,0,4,2022-06-01T00:00:00.000,6143,0,8912,0,0,14558.91,0.0,36806.56,0.0,0.0,5298.05,56663.52,108-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06668,I.C.U. Independent Community Uplift,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,13,0,13,2022-06-01T00:00:00.000,5863,0,6118,0,0,13895.31,0.0,25267.34,0.0,0.0,4023.85,43186.5,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01636,CITYSQUARE,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,130,0,130,2022-06-01T00:00:00.000,10452,59,54627,23449,0,24771.24,56.64,225609.51,22511.04,0.0,23637.26,296585.69,057-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00418,NIXON-SMILEY CONS ISD,Educational Institution,School Food Authority,13,3,GONZALES,1,0,1,2022-07-01T00:00:00.000,374,0,444,0,0,886.38,0.0,1833.72,0.0,0.0,279.92,3000.02,089-903
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01685,"BOYS & GIRLS CLUBS OF AUSTIN COUNTY, INC",Private Non Profit Organization,Private Nonprofit,6,3,AUSTIN,1,0,1,2022-07-01T00:00:00.000,0,0,1776,1839,0,0.0,0.0,7334.88,1765.44,0.0,984.2,10084.52,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00674,HAWLEY ISD,Educational Institution,School Food Authority,14,1,JONES,1,0,1,2022-06-01T00:00:00.000,0,0,498,0,0,0.0,0.0,2056.74,0.0,0.0,215.39,2272.13,127-904
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01544,REGIONAL EAST TEXAS FOOD BANK,Private Non Profit Organization,Private Nonprofit,7,2,SMITH,2,0,2,2022-05-01T00:00:00.000,52,0,60,0,0,123.24,0.0,247.8,0.0,0.0,38.17,409.21,212-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06308,OIMZION International Global Ministries & Missions,Private Non Profit Organization,Private Nonprofit,17,1,HALE,3,0,3,2022-06-01T00:00:00.000,0,0,312,1308,971,0.0,0.0,1288.56,1255.68,4010.23,708.59,7263.06,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00418,NIXON-SMILEY CONS ISD,Educational Institution,School Food Authority,13,3,GONZALES,1,0,1,2022-06-01T00:00:00.000,703,0,966,0,0,1666.11,0.0,3989.58,0.0,0.0,583.01,6238.7,089-903
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01544,REGIONAL EAST TEXAS FOOD BANK,Private Non Profit Organization,Private Nonprofit,7,2,SMITH,9,0,9,2022-08-01T00:00:00.000,1875,0,2018,0,0,4443.75,0.0,8334.34,0.0,0.0,1313.42,14091.51,212-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01530,SAN ANTONIO FOOD BANK,Private Non Profit Organization,Private Nonprofit,20,4,BEXAR,60,0,60,2022-08-01T00:00:00.000,1426,0,8264,7297,0,3379.62,0.0,34130.32,7005.12,0.0,4766.69,49281.75,015-
